,Restaurant,UserID,Menu,Review,Total,Taste,Quantity,Delivery,Date,OperationTime,Address
20,백종원의인생설렁탕-경희대점,ca**님,곱창전골（2인분）/1,이렇게 맛있는 곱창전골 첨이에여 설렁탕도 먹어봐야겠음 ㅎㅎㅎ,5,5,5,5,2021년 1월 27일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
21,백종원의인생설렁탕-경희대점,aj**님,인생설렁탕/2,배송이 빠르고 설렁탕 맛있고 국물이 진국 이여서 좋았어요!,5,5,4,5,2021년 1월 26일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
22,백종원의인생설렁탕-경희대점,tr**님,"인생설렁탕/2,시래기된장설렁탕/1",배달도 빠르고 맛있어요 잘 먹었습니다.,5,5,5,5,2021년 1월 26일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
23,백종원의인생설렁탕-경희대점,cj**님,"인생설렁탕/1(고기추가1(부채살（22g）,차돌양지（22g）),사리3(소면사리),찍어먹는소스(찍어먹는소스))",맛있게 잘 먹었습니다,5,5,5,5,2021년 1월 22일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
24,백종원의인생설렁탕-경희대점,wo**님,"인생설렁탕/5(고기추가1(부채살（22g）),사리3(소면사리))",역시 믿고 먹는 설렁탕집 고기 추가해서 먹으면 든든합니다,5,5,5,5,2021년 1월 22일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
25,백종원의인생설렁탕-경희대점,aj**님,"인생설렁탕/1,시래기된장설렁탕/1",배송이 빠르고 사골 국물이 진국이여서 맛있게 잘 먹었습니다.,5,5,4,5,2021년 1월 20일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
26,백종원의인생설렁탕-경희대점,ti**님,"알찬국수 SET（물국수＋만두2ea）/1(국수(비빔국수),사이드(육쌈밀전))",너무잘먹어서 이너구리도 기분좋습니다,5,5,5,5,2021년 1월 20일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
27,백종원의인생설렁탕-경희대점,rk**님,인생설렁탕/1(사이드(육쌈밀전)),자주시켜먹음 맛나요,5,5,5,5,2021년 1월 18일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
28,백종원의인생설렁탕-경희대점,po**님,"든든 만두 SET（설렁탕＋만두2ea）/1(설렁탕 선택1(스지설렁탕)),인생설렁탕/1",맛있어요~~~~~~,5,5,5,5,2021년 1월 18일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
29,백종원의인생설렁탕-경희대점,ye**님,"든든 만두 SET（설렁탕＋만두2ea）/1(설렁탕 선택1(인생설렁탕),사리3(소면사리))",맛있었어용!! 김치랑 만두도 맛있게 잘 먹었습니다 ㅎㅎ,5,5,5,5,2021년 1월 16일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
30,백종원의인생설렁탕-경희대점,jf**님,"알찬국수 SET（물국수＋만두2ea）/1(국수(물국수)),인생설렁탕/1,시래기된장설렁탕/1",맛있어요 정말 맛있어요 고기 좋아 하시는 분은 고기 추가 필수 고기가 살짝 부족한 느낌적인 느낌,5,5,5,5,2021년 1월 15일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
31,백종원의인생설렁탕-경희대점,wo**님,"인생설렁탕/3,시래기된장설렁탕/1,스지설렁탕/1",가성비 좋습니다 든든하고 맛있게 한끼 먹었습니다,5,5,5,5,2021년 1월 14일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
32,백종원의인생설렁탕-경희대점,ck**님,든든 만두 SET（설렁탕＋만두2ea）/1(설렁탕 선택1(인생설렁탕)),맛있어요,5,5,5,5,2021년 1월 13일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
33,백종원의인생설렁탕-경희대점,op**님,화끈불스지 SET（설렁탕＋불스지）/1(설렁탕 선택1(인생설렁탕)),배달도 빠르고 맛있게 먹었습니다,5,5,5,5,2021년 1월 12일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
34,백종원의인생설렁탕-경희대점,ju**님,"설렁탕1＋1/1,인생설렁탕/1",잘 먹었습니다.,5,5,5,5,2021년 1월 12일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
35,백종원의인생설렁탕-경희대점,ss**님,"든든 만두 SET（설렁탕＋만두2ea）/1(설렁탕 선택1(인생설렁탕),사리3(소면사리)),인생설렁탕/1(사리3(소면사리))",국물이 진국이네요.고기양도 괜찮고 밥도 넉넉하게 주셨어요..깍두기가 넘맛았는데 감치양에 비해적어서 아쉽네요...맛있게 먹었어요 먹느라고 사진을 ......,5,5,5,5,2021년 1월 8일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
36,백종원의인생설렁탕-경희대점,yu**님,"인생설렁탕/1,시래기된장설렁탕/1",저렴하고 맛있어용 굳굳,5,5,5,5,2021년 1월 6일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
37,백종원의인생설렁탕-경희대점,hy**님,"인생설렁탕/1(고기추가1(차돌양지（22g）),사리2(공기밥))",감사합니다 요청사항도 잘 들어주셔서 든든하게 먹었습니다 다음에 날이 추워지면 또 주문할게요👍🏽,5,5,5,5,2021년 1월 5일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
38,백종원의인생설렁탕-경희대점,ve**님,"화끈불스지 SET（설렁탕＋불스지）/1(설렁탕 선택1(인생설렁탕),찍어먹는소스(찍어먹는소스))",맛있어요~~~!!!!!!!!!,5,5,5,5,2021년 1월 4일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
39,백종원의인생설렁탕-경희대점,sc**님,인생설렁탕/2(사리3(소면사리)),빠르고 저렴하고 맛있네요,5,5,5,5,2021년 1월 4일,10:00 - 21:00,서울 동대문구 회기동 42-84 1층
